ipst,wallclock
icwz29010,1539.0
idx5a5piq,208.0
idut89dlq,39.0
ie180qkzq,1256.0
ibzc21peq,703.0
ie9m93020,1537.0
ic3s85jzq,181.0
ibwm08010,7120.0
idg205rrq,37.0
ibbq01mtq,105.0
ie1h24g8q,760.0
icf854010,4746.0
j8i0baemq,1644.0
idfu03o8q,226.0
ibcx03vuq,1336.0
icxv21030,2476.0
iege160c0,210.0
idci38c6q,1386.0
ich305070,320.0
lce701jyq,13.0
ie4n0d030,1780.0
icfs11wqq,46.0
id1m01eqq,727.0
idcd05u2q,1754.0
ibwi08090,85.0
lb4c10n9q,13.0
id0b38010,1805.0
ic6m4xohq,509.0
idyq7b020,88.0
ibvh03090,44.0
ibwm19010,6695.0
ib4v23h2q,168.0
ic2835010,2783.0
ich103k3q,1764.0
icii89jaq,764.0
ie180cgiq,840.0
ibzy01030,2029.0
idx5a4isq,104.0
ic2i16040,5653.0
ibtx93zpq,39.0
idmg08c7q,98.0
ie7l03afq,187.0
ief758wxq,32.0
ic6x9r010,1388.0
icn401030,879.0
j8ux06pkq,50.0
iduy05qxq,46.0
idca06010,1695.0
icqa81xpq,638.0
ic5m39010,2781.0
ic5m6d010,1672.0
icqu01edq,1496.0
ibld94x9q,20.0
icr898j0q,1800.0
ie0d43kkq,34.0
ibht14mjq,205.0
ibcd330f0,365.0
ibh706hkq,20.79
idp636gyq,1447.0
j8dnc5010,3083.0
ic5s030a0,336.0
ibld01a5q,37.0
idci41mcq,1660.0
ieav06d6q,1549.0
idy61mhqq,160.0
icmdp3050,578.0
j8vz01040,5487.0
idp538wqq,180.0
ic1374dlq,955.0
id1x09hrq,1151.0
ibu992liq,1215.0
idov36cfq,36.0
idc93y010,2167.0
o5h701040,50.0
idb734hpq,1086.0
ic6m5u010,2891.0
idsd01qwq,116.0
icfdj3c3q,1842.0
idow13010,11565.0
j8i0c0ooq,2688.0
iac532gvq,885.0
idnza3weq,60.0
iblc43idq,34.0
ibc307tdq,1306.0
ocxb04010,63.0
ibu805apq,37.0
lb8s4navq,28.0
idn022040,7029.0
o4k1i4010,32.0
ic5h2abrq,371.0
idms22hnq,151.0
ib7779020,98.0
ibcr10klq,467.0
j8ig01hlq,27.0
idxp21010,119.0
ibcn01xmq,54.0
icdh01030,1254.0
idi518isq,171.0
lbbd08owq,20.0
lbpa11rpq,141.0
ibjd02j4q,43.0
ie1948010,2245.0
id0d94alq,22.0
ibwk04c5q,50.0
idcw02ciq,250.0
idpya5haq,365.0
ibfe11030,2118.0
ieab06llq,391.0
ida902lsq,925.0
ib91jmc5q,405.0
ib916jvbq,641.0
iaar01onq,37.0
j8qj17050,91.0
ibu890syq,25.0
icqu02aiq,1162.0
ibc610e0q,34.0
idbha4050,255.0
ib3102040,2413.0
ibcf0borq,26.0
ics491lkq,31.0
ic1121030,2000.0
idyw33xyq,1023.0
ibz134j1q,257.0
ics349m1q,819.0
ic4560pkq,36.0
idy60os9q,210.0
icjl03040,2018.0
idi501rcq,159.0
iaao05030,1599.0
idan34020,4881.0
ie6k06evq,188.0
idp00ioeq,1942.0
ib2k0oh0q,196.0
ic6dl2qvq,137.0
icha05oqq,139.0
icqa4a010,1883.0
j8uw51020,79.0
ibcd61090,290.0
idy686i0q,186.0
iedk03oeq,823.0
ic8s01010,3773.0
idp637o2q,1538.0
ieec04020,2235.0
idgga3020,1985.0
icwk06030,2392.0
ibxa85d3q,120.0
ob5k02r5q,19.0
idq27c010,2477.0
idp184d6q,1032.0
ie9211tsq,708.0
id0b2f010,1509.0
ibct17u2q,33.0
idiq16010,3981.0
ib91jexiq,377.0
iaaud10a0,319.0
ib6wr8050,1649.0
idcd08ueq,170.0
ibbsf0p1q,208.0
ic5za6ebq,212.0
ic3g07tqq,380.0
lbn103a6q,13.0
idme01smq,47.0
ibtp02rlq,704.0
id7o02030,4327.0
icdz11lzq,34.0
o5hkf5030,53.0
la9k04pjq,22.0
idx5a5p8q,201.0
ie1b25hmq,148.0
ib3d59jnq,775.0
iege02010,159.0
ibtx53uqq,39.0
ib3t01010,3563.0
id2e04boq,124.0
j8qz02020,89.0
ibwu01pnq,81.0
icgy06bfq,1487.0
lb4c10naq,15.0
lbb910ggq,19.0
idp624hfq,1150.0
ie4n84030,3169.0
icha06nhq,152.0
iby07b030,2055.0
id8j51qzq,333.0
ics343lqq,35.0
ie1u84030,303.0
ie131bdbq,2234.0
id0201010,2932.0
iehl09wxq,189.0
ic9r06020,5579.0
ich3060b0,341.0
