ipst,memory
ibc307tdq,2.043444
ocxb04010,0.4801760000000001
ibu805apq,0.4815399999999999
lb8s4navq,0.462116
idn022040,5.416296
o4k1i4010,0.496092
ic5h2abrq,1.041752
idms22hnq,0.8384520000000001
ib7779020,0.539552
ibcr10klq,1.043748
j8ig01hlq,0.481728
idxp21010,0.481044
ibcn01xmq,0.481592
icdh01030,2.806028
idi518isq,0.88344
lbbd08owq,0.455932
lbpa11rpq,1.767652
ibjd02j4q,0.463648
ie1948010,1.028052
id0d94alq,0.482704
ibwk04c5q,0.4646
idcw02ciq,0.8822200000000001
idpya5haq,0.987492
ibfe11030,2.787556
ieab06llq,0.987064
ida902lsq,2.063152
ib91jmc5q,1.01628
ib916jvbq,1.0241559999999998
iaar01onq,1.19
j8qj17050,0.5024
ibu890syq,0.482072
icqu02aiq,2.0459560000000003
ibc610e0q,0.484652
idbha4050,0.854512
ib3102040,3.489384
ibcf0borq,0.4637560000000001
ics491lkq,0.462904
ic1121030,2.813312
idyw33xyq,2.06386
ibz134j1q,0.988152
ics349m1q,1.023564
ic4560pkq,0.4810439999999999
idy60os9q,0.8383280000000001
icjl03040,2.77976
idi501rcq,0.839024
iaao05030,1.026484
idan34020,4.9151440000000015
ie6k06evq,0.988068
idp00ioeq,1.024708
ib2k0oh0q,0.8381200000000001
ic6dl2qvq,0.8637440000000001
icha05oqq,0.8638120000000001
icqa4a010,1.026808
j8uw51020,0.504736
ibcd61090,0.8545520000000001
idy686i0q,0.8383120000000001
iedk03oeq,1.044932
ic8s01010,4.214736
idp637o2q,1.024888
ieec04020,2.81438
idgga3020,2.8146400000000003
icwk06030,3.525
ibxa85d3q,0.838256
ob5k02r5q,0.461348
idq27c010,3.505152
idp184d6q,1.025336
ie9211tsq,1.0443559999999998
id0b2f010,1.025888
ibct17u2q,0.477756
idiq16010,4.257524
ib91jexiq,1.01594
iaaud10a0,0.854532
ib6wr8050,2.8148
idcd08ueq,0.8644040000000001
ibbsf0p1q,0.838176
ic5za6ebq,0.8380559999999999
ic3g07tqq,0.986448
lbn103a6q,0.455076
idme01smq,0.482792
ibtp02rlq,1.046884
id7o02030,4.220952
icdz11lzq,0.4826399999999999
o5hkf5030,0.481828
la9k04pjq,0.45752
idx5a5p8q,0.8381360000000001
ie1b25hmq,0.8641
ib3d59jnq,2.062844
iege02010,0.854608
ibtx53uqq,0.482548
ib3t01010,4.236516
id2e04boq,0.85108
j8qz02020,0.543028
ibwu01pnq,0.717188
icgy06bfq,1.023876
lb4c10naq,0.454812
lbb910ggq,0.455372
idp624hfq,1.022624
ie4n84030,3.53988
icha06nhq,0.86346
iby07b030,2.799192
id8j51qzq,0.986212
ics343lqq,0.4656
ie1u84030,0.905996
ie131bdbq,1.025916
id0201010,4.242028
iehl09wxq,0.838192
ic9r06020,4.363904
ich3060b0,0.85506
icnk05010,3.484828
iclk02050,4.213612
iboe3lcyq,2.060516
ibh706dbq,0.511188
idcn01dyq,0.510296
idb80uroq,0.482648
j8qu02030,0.7780520000000001
ib91n9qdq,1.0253
ics345p2q,1.024972
icqa57010,1.024752
ic7465fyq,1.025444
ib2k20nhq,0.8382879999999999
ie1807010,1.025532
iaatb20b0,2.80766
idwl06xfq,1.043996
oa9j02040,0.496088
o5ao05030,0.483556
idg264edq,0.9876
idx703dhq,0.838684
lbmxc3b5q,1.510676
idwi42010,1.026648
ibu950010,1.0267959999999998
ibu9bid4q,1.024428
idy62uhlq,0.838356
ibwva3fsq,0.7156319999999999
icqu05060,1.057708
ib9j0an2q,1.023552
idp41vkiq,1.025564
ibu404ipq,0.8383200000000001
ibztb3030,2.818584
ic6di1i0q,0.8635879999999999
idc91u010,1.03436
idx5a4j2q,0.838368
ids901020,1.026428
iche13n9q,1.02506
o4nx06010,0.474728
ics332iyq,1.023312
