dtype,total_mb,subarray,detector,crsplit,x_size,pctecorr,mem_bin,memory,instr,drizcorr,wallclock,n_files,timestamp,x_files,ipst
0,34.0,0,1,2,0.8994476926639713,1,1,2.068136,0,1,2184.0,2,1620740441,-0.28988624880095043,j8i0cam3q
0,0.0,0,0,0,-1.3498008528204737,0,0,0.462268,1,0,19.0,2,1620740441,-0.28988624880095043,labo05vmq
0,34.0,0,1,2,0.8994476926639713,1,1,2.076884,0,1,1655.0,2,1620740441,-0.28988624880095043,j8i0ajd1q
0,34.0,0,1,2,0.8994476926639713,1,1,2.0429,0,1,1943.0,2,1620740441,-0.28988624880095043,j8i0btwuq
0,0.0,0,0,0,-1.3498008528204737,0,0,0.455208,1,0,15.0,2,1620740441,-0.28988624880095043,labp73gaq
0,0.0,0,0,0,-1.3498008528204737,0,0,0.462276,1,0,18.0,2,1620740441,-0.28988624880095043,lb3s08ihq
1,103.0,0,1,1,1.5152557509222826,1,2,9.4,0,1,4868.0,4,1620740441,1.178460879903311,j8de30030
0,0.0,0,0,0,-1.3498008528204737,0,0,0.4556,1,0,15.0,2,1620740441,-0.28988624880095043,labo95ppq
0,0.0,0,0,0,-1.3498008528204737,0,0,0.45506800000000003,1,0,13.0,2,1620740441,-0.28988624880095043,labo95poq
1,68.7,0,1,1,1.2926871619270794,1,1,5.93,0,1,3391.0,3,1620740441,0.6765321553240086,j6n201010
1,137.4,0,1,2,1.6715921812967502,1,2,12.49,0,1,25839.0,5,1620740441,1.4770334018512739,j8nw04020
1,137.4,0,1,1,1.6715921812967502,1,2,10.65,0,1,22634.0,5,1620740441,1.4770334018512739,j8dfa1020
0,34.0,0,1,2,0.8994476926639713,1,1,2.07038,0,1,1765.0,2,1620740441,-0.28988624880095043,j8i0ckbbq
0,34.0,0,1,2,0.8994476926639713,1,1,2.044696,0,1,1711.0,2,1620740441,-0.28988624880095043,j8i0aqq8q
0,1.0,1,0,0,-0.8807389346057599,0,0,0.455668,1,0,22.0,2,1620740441,-0.28988624880095043,la9k02afq
0,1.0,0,0,0,-0.8807389346057599,0,0,1.5102959999999999,1,0,89.0,3,1620740441,0.6765321553240086,la8m04fxq
0,2.0,0,0,2,-0.6134846679631814,0,0,0.48074799999999995,0,1,39.0,2,1620740441,-0.28988624880095043,j8hm06j4q
0,34.0,0,1,2,0.8994476926639713,1,1,2.04446,0,1,1931.0,2,1620740441,-0.28988624880095043,j8i0bkz2q
0,0.0,0,0,0,-1.3498008528204737,0,0,0.45483199999999996,1,0,18.0,2,1620740441,-0.28988624880095043,labm03haq
1,5.0,0,0,0,-0.16845467628818533,0,0,0.5473399999999999,0,1,58.0,9,1620740441,1.975929531274675,j8rt01030
