ipst,dtype,total_mb,subarray,detector,crsplit,x_size,pctecorr,mem_bin,memory,instr,drizcorr,wallclock,n_files,timestamp,x_files
ibh714jiq,0,0.5,1,0,0,-1.2948126187674407,0,0,0.28600000000000003,3,1,15.97,1,1620740441,-3.2299932216233636
lb1418imq,0,0,1,0,0,-1.6157022275450914,0,0,0.454232,1,0,13,2,1620740441,-0.7780152036830672
lb1419cqq,0,9,1,0,0,0.09506200417781331,0,0,0.4553,1,0,10,2,1620740441,-0.7780152036830672
lb3s01btq,0,0,0,0,0,-1.6157022275450914,0,0,0.455612,1,0,13,2,1620740441,-0.7780152036830672
j8i0c4qaq,0,34,0,1,2,0.919839605356715,1,1,2.043256,0,1,2374,2,1620740441,-0.7780152036830672
labm02w4q,0,0,0,0,0,-1.6157022275450914,0,0,0.45486,1,0,16,2,1620740441,-0.7780152036830672
lb3e31e7q,0,0,0,0,0,-1.6157022275450914,0,0,0.46124,1,0,18,2,1620740441,-0.7780152036830672
j8i0btugq,0,34,0,1,2,0.919839605356715,1,1,2.04432,0,1,2106,2,1620740441,-0.7780152036830672
ibh706fxq,0,9.2,1,0,0,0.10865022812885344,0,0,0.322,3,1,19.12,1,1620740441,-3.2299932216233636
ibeuhtc8q,0,29,0,0,0,0.8220807139761808,0,0,0.618668,3,1,73,2,1620740441,-0.7780152036830672
j8i0b9pvq,0,34,0,1,2,0.919839605356715,1,1,2.043232,0,1,1948,2,1620740441,-0.7780152036830672
la8m02p1q,0,1,0,0,0,-1.0724141621312375,0,0,1.518188,1,0,80,3,1620740441,0.2397118177539458
lb1408tnq,0,9,1,0,0,0.09506200417781331,0,0,0.455196,1,0,13,2,1620740441,-0.7780152036830672
j8sn30020,1,5,0,0,2,-0.2618199013465426,0,0,0.495196,0,1,65,5,1620740441,1.0921440788857568
j8i0blz5q,0,34,0,1,2,0.919839605356715,1,1,2.043684,0,1,2066,2,1620740441,-0.7780152036830672
ib9m99hdq,0,15,0,0,0,0.4127126235021304,0,0,0.544424,3,0,48,2,1620740441,-0.7780152036830672
j8i0a4l2q,0,34,0,1,2,0.919839605356715,1,1,2.04378,0,1,2165,2,1620740441,-0.7780152036830672
la9k03dkq,0,1,1,0,0,-1.0724141621312375,0,0,0.455784,1,0,19,2,1620740441,-0.7780152036830672
ibfy01aqq,0,9,1,1,2,0.09506200417781331,1,0,1.2603959999999998,3,1,171,2,1620740441,-0.7780152036830672
j8i0bhl0q,0,34,0,1,2,0.919839605356715,1,1,2.04598,0,1,2368,2,1620740441,-0.7780152036830672
j8i0b3t0q,0,34,0,1,2,0.919839605356715,1,1,2.100648,0,1,1692,2,1620740441,-0.7780152036830672
la9x03qaq,0,0,1,0,0,-1.6157022275450914,0,0,0.45478,1,0,11,2,1620740441,-0.7780152036830672
j8r006030,1,69,0,1,2,1.3470427631721529,1,1,2.810796,0,1,3160,5,1620740441,1.0921440788857568
