n_files,total_mb,x_files,x_size,drizcorr,pctecorr,crsplit,subarray,detector,dtype,instr,wallclock,memory,mem_bin,bin_pred,mem_pred,wall_pred,ipst
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,634.0,1.024952,0.0,,,,iaab20v6q
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,833.0,1.025772,0.0,,,,iaab21010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,802.0,1.0297120000000002,0.0,,,,iaab21roq
6.0,70.0,1.3008477269530612,1.3555777444018957,0,1,2,0,1,1,3,851.0,1.026376,0.0,,,,iaab22010
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,745.0,1.02508,0.0,,,,iaab22i3q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,390.0,1.015948,0.0,,,,iaag03a5q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,678.0,1.026272,0.0,,,,iaag03a6q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,404.0,1.015588,0.0,,,,iaag03a8q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,613.0,1.025496,0.0,,,,iaag03a9q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,411.0,1.015336,0.0,,,,iaag03abq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,646.0,1.0260479999999998,0.0,,,,iaag03acq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,410.0,1.013972,0.0,,,,iaag03aeq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,651.0,1.024536,0.0,,,,iaag03afq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,462.0,1.01684,0.0,,,,iaag03ahq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,671.0,1.023952,0.0,,,,iaag03aiq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,412.0,1.017092,0.0,,,,iaag04a1q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,724.0,1.02356,0.0,,,,iaag04a2q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,343.0,1.01708,0.0,,,,iaag04a5q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,682.0,1.025136,0.0,,,,iaag04a7q
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,347.0,1.016024,0.0,,,,iaag04agq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,762.0,1.023232,0.0,,,,iaag04aiq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,481.0,1.015608,0.0,,,,iaag04anq
2.0,35.0,-0.7780152032470653,0.937595090991267,0,1,2,0,1,0,3,763.0,1.02332,0.0,,,,iaag04aoq
